,heuristic,N,energy_mean,energy_std
0,mnsat,50,4.1397538890890206e-11,3.2511861633403095e-14
1,mnsat,100,8.255691844064144e-11,4.351412817079947e-14
2,mnsat,150,1.2447813399423126e-10,4.931274696488334e-14
3,gnsat-u,50,2.0240122772823504e-11,6.65579165244138e-14
4,gnsat-u,100,4.051768203473782e-11,7.784045783284913e-14
5,gnsat-u,150,6.134009417147358e-11,7.168369002666681e-14
6,gnsat-n,50,4.64462364813087e-11,3.4982120706687805e-14
7,gnsat-n,100,9.261352832583365e-11,7.693412911004263e-14
8,gnsat-n,150,1.3963714546485063e-10,1.1180063226541733e-13
