,V,CPU-WalkSAT,KLIMA-M,KLIMA-G-U,KLIMA-G-N
0,50,6.104245350180146e-05,1.2763497807860749e-06,1.4662507372810434e-07,1.5054544041505952e-07
1,100,0.00035906518532265,2.5554455189018283e-05,2.531476660093186e-06,2.243623660490038e-06
2,150,0.00154937539537745,0.00017258709586795526,1.4824517319599637e-05,1.2637672624379135e-05
