,V,HNN-Q,HNN-P,WalkSAT,MNSAT,GNSAT-U,GNSAT-N
0,20,3951.233893723148,538.801475648583,238.82388919085597,928.0,245.6160952685489,203.59052052075583
1,50,56450.46146395901,4490.642466302073,1551.294332064468,8354.0,2966.0,1943.2677377521493
2,100,1046309.3021158586,44388.118945104296,7644.740951674339,63628.91131746181,12921.5,9251.82837775908
3,150,5389628.823106064,107583.11364486034,18240.09510823149,183218.50184120273,41703.51508964862,20910.458480967485
