,V,memHNN-Q,memHNN-P,CPU-WalkSAT,KLIMA-M,KLIMA-G-U,KLIMA-G-N
0,20,1.2391770211267478e-08,6.921979640255145e-10,3.6881529446636733e-06,1.2695195010125665e-08,1.1083281749033628e-09,3.156414768140043e-09
1,50,1.4458965133e-06,8.11340353102572e-08,1.0458750994783742e-05,2.8805699342865505e-07,3.201468877758268e-08,7.519709234839787e-08
2,100,5.45580306528e-05,1.664478242e-06,3.8632584468849456e-05,4.3780806145583716e-06,2.783725531827518e-07,7.137069671838117e-07
3,150,0.0003870713873369,5.5941713516e-06,8.264192335712909e-05,1.897421147459519e-05,1.3616096363169288e-06,2.427752582171154e-06
