,V,WalkSAT,MNSAT,GNSAT-U,GNSAT-N
0,50,6785.777390276789,30814.0,7222.172475613972,7433.071123524836
1,100,46269.24825017208,309463.81334173377,62410.624050138555,55288.900108010275
2,150,241678.48387644626,1386608.833944344,241541.9720080912,205956.3801801571
