,V,memHNN-Q,memHNN-P,CPU-WalkSAT,KLIMA-M,KLIMA-G-U,KLIMA-G-N
0,20,5.6298877085e-06,1.062521479e-06,0.00022841413201685,5.568e-06,1.4736965716112934e-06,1.221543123124535e-06
1,50,0.0001862314943841,1.5916362909e-05,0.0006576379779665,5.0123999999999996e-05,1.7796e-05,1.1659606426512896e-05
2,100,0.0035004848413096,0.0001658695916049,0.00245772903812425,0.0003817734679047709,7.7529e-05,5.551097026655448e-05
3,150,0.019633162257785,0.0004054478785216,0.0052102038837724,0.0010993110110472163,0.00025022109053789176,0.0001254627508858049
